"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1288927,"December 31, 2018",Colorado,Longmont,"2211 Pratt St",1,0,N/A
1291156,"December 31, 2018",Texas,Mexia,"500 block of W Commerce St",0,0,N/A
1290183,"December 31, 2018","West Virginia",Charleston,N/A,0,0,N/A
1289200,"December 31, 2018",Indiana,"Fort Wayne","9200 block of Springbreeze Ct",0,1,N/A
1288974,"December 31, 2018","North Carolina",Burlington,"700 block of Elizabeth St",0,0,N/A
1290506,"December 31, 2018",Texas,Abilene,"2400 block of Glendale Dr",0,0,N/A
1305833,"December 30, 2018",Pennsylvania,Scranton,N/A,0,0,N/A
1289176,"December 30, 2018",Oklahoma,"Oklahoma City","E Madison St",0,1,N/A
1288416,"December 30, 2018",Ohio,Miamisburg,"119 N 1st St",1,1,N/A
1292840,"December 30, 2018","North Carolina",Winterville,"3900 block of Sterling Pointe Dr",0,0,N/A
1288608,"December 30, 2018",Maryland,Frostburg,"S Grant St",0,0,N/A
1287719,"December 29, 2018",Massachusetts,Quincy,"Crown Dr",0,1,N/A
1288686,"December 29, 2018",Tennessee,"Goodlettsville (Millersville)","1100 block of Slaters Creek Rd",0,0,N/A
1287717,"December 29, 2018",Mississippi,Golden,"Alice Hall Rd",2,0,N/A
1292976,"December 29, 2018",Oklahoma,"Oklahoma City","SE 35th St",0,0,N/A
1287030,"December 28, 2018",Arizona,Glendale,"4900 block of W Thunderbird Rd",1,0,N/A
1287678,"December 28, 2018","North Carolina","Winston Salem (Winston-salem)","2700 block of Country Club Rd",0,1,N/A
1287424,"December 28, 2018",Virginia,Lynchburg,"1400 block of Ashbourne Dr",0,0,N/A
1286888,"December 28, 2018",Ohio,Cincinnati,"Glenway Ave",0,0,N/A
1287948,"December 28, 2018",Maryland,Reisterstown,"4300 block of Butler Rd",0,1,N/A
1289464,"December 28, 2018",Arizona,Phoenix,"43rd Ave and Indian School Rd",1,3,N/A
1287778,"December 27, 2018","New Jersey",Trenton,"100 block of Walnut Ave",0,0,N/A
1286785,"December 27, 2018",Florida,Palmetto,"600 block of Riverside Dr",0,1,N/A
1286095,"December 27, 2018",Virginia,Roanoke,"1500 block of Gordon Ave SE",0,0,N/A
1286626,"December 27, 2018",Maryland,Frostburg,"10400 block of Piney Mountain Rd",1,0,N/A
1288562,"December 27, 2018",Texas,Sweetwater,"800 block of Lubbock St",0,1,N/A
1287108,"December 27, 2018",Texas,Houston,"5400 Beverly Hill",0,1,N/A
1285119,"December 26, 2018",Illinois,Chicago,"5700 block of W 64th Pl",1,1,N/A
1285384,"December 26, 2018",Alabama,"Bessemer (Brighton)","Parker Springs St and Short Perry Ave",1,0,N/A
1286217,"December 26, 2018",Maryland,Manchester,"3000 block of Maiden Ln",0,0,N/A
1320154,"December 25, 2018",Ohio,Dayton,"4996 Woodman Park Dr",0,0,N/A
1284796,"December 25, 2018","South Carolina",Greenville,"17 Appaloosa Dr",0,2,N/A
1353305,"December 25, 2018",Ohio,Canton,"1700 block of 29th St NW",0,0,N/A
1383215,"December 25, 2018",Washington,Aberdeen,"400 block of N Washington St",0,1,N/A
